Crime Id,Year Id,Month Id,Day Id,Time Id,City Id,Latitude,Longitude
10,1,8,2,1,6,40.57952067,-73.83810453
10,1,2,2,1,6,40.59779758,-73.79468688
10,1,0,2,1,6,40.60220258,-73.75522599
10,1,5,2,1,6,40.60492996,-73.75221608
10,1,6,2,1,6,40.66201293,-73.8482778
10,1,6,2,1,6,40.66803119,-73.74765238
10,1,4,2,1,6,40.67018311,-73.76448251
10,1,3,2,1,6,40.67157581,-73.78465438
10,1,0,2,1,6,40.67532186,-73.77714001
10,1,0,2,1,6,40.6763141,-73.82028711
10,1,4,2,1,6,40.67827726,-73.83159881
10,1,0,2,1,6,40.68063733,-73.84293187
10,1,6,2,1,6,40.68121246,-73.86345269
10,1,8,2,1,6,40.68284055,-73.83836929
10,1,6,2,1,6,40.68330295,-73.8494228
10,1,9,2,1,6,40.68375883,-73.83365817
10,1,3,2,1,6,40.6870517,-73.75746741
10,1,9,2,1,6,40.68983881,-73.82642758
10,1,0,2,1,6,40.69023761,-73.79987606
10,1,6,2,1,6,40.69072208,-73.84125658
10,1,4,2,1,6,40.69205005,-73.84289056
10,1,7,2,1,6,40.69242621,-73.85999676
10,1,3,2,1,6,40.69242621,-73.85999676
10,1,4,2,1,6,40.69334122,-73.82647616
10,1,5,2,1,6,40.69405179,-73.7366453
10,1,9,2,1,6,40.69459324,-73.79347285
10,1,7,2,1,6,40.69558885,-73.83948516
10,1,0,2,1,6,40.69660091,-73.74731705
10,1,2,2,1,6,40.69970659,-73.82125189
10,1,10,2,1,6,40.70115466,-73.90939134
10,1,1,2,1,6,40.70184334,-73.82210452
10,1,0,2,1,6,40.70417952,-73.81537181
10,1,8,2,1,6,40.70467953,-73.80565033
10,1,0,2,1,6,40.70571528,-73.74435741
10,1,2,2,1,6,40.70629123,-73.79641943
10,1,3,2,1,6,40.70766985,-73.78771904
10,1,3,2,1,6,40.70865604,-73.90588965
10,1,5,2,1,6,40.70909089,-73.7979763
10,1,1,2,1,6,40.71077335,-73.78726188
10,1,11,2,1,6,40.71442794,-73.80343592
10,1,5,2,1,6,40.71909415,-73.76403911
10,1,10,2,1,6,40.72672504,-73.85794036
10,1,2,2,1,6,40.72861329,-73.85130482
10,1,11,2,1,6,40.73366205,-73.87539686
10,1,6,2,1,6,40.73469076,-73.81056396
10,1,7,2,1,6,40.7378276,-73.73400406
10,1,11,2,1,6,40.73831114,-73.88546318
10,1,0,2,1,6,40.73844194,-73.70775661
10,1,7,2,1,6,40.73953244,-73.92132329
10,1,3,2,1,6,40.7401563,-73.79038336
10,1,2,2,1,6,40.74138709,-73.86675041
10,1,10,2,1,6,40.74215969,-73.80916779
10,1,7,2,1,6,40.74462415,-73.87753446
10,1,6,2,1,6,40.74477282,-73.8946511
10,1,4,2,1,6,40.74500955,-73.8638777
10,1,5,2,1,6,40.7470981,-73.87584451
10,1,7,2,1,6,40.74725295,-73.8876493
10,1,8,2,1,6,40.74749494,-73.88532107
10,1,11,2,1,6,40.74749494,-73.88532107
10,1,5,2,1,6,40.74759008,-73.884397
10,1,8,2,1,6,40.7476907,-73.8834693
10,1,3,2,1,6,40.74847365,-73.9425269
10,1,9,2,1,6,40.7486008,-73.88504849
10,1,1,2,1,6,40.74913389,-73.85625404
10,1,10,2,1,6,40.74932908,-73.86798689
10,1,8,2,1,6,40.75002125,-73.87583545
10,1,11,2,1,6,40.75027833,-73.86291411
10,1,10,2,1,6,40.75058106,-73.88635521
10,1,8,2,1,6,40.7514647,-73.83227641
10,1,9,2,1,6,40.7519481,-73.87334507
10,1,4,2,1,6,40.75237906,-73.85476723
10,1,9,2,1,6,40.75244266,-73.87131932
10,1,6,2,1,6,40.7555689,-73.89879935
10,1,10,2,1,6,40.75590985,-73.88211581
10,1,10,2,1,6,40.75629856,-73.90809271
10,1,8,2,1,6,40.75743365,-73.90323267
10,1,5,2,1,6,40.75787403,-73.78461
10,1,0,2,1,6,40.75806582,-73.87058293
10,1,2,2,1,6,40.7595778,-73.8301407
10,1,8,2,1,6,40.7597333,-73.92059916
10,1,0,2,1,6,40.76155546,-73.83112113
10,1,8,2,1,6,40.7631668,-73.92442153
10,1,6,2,1,6,40.76469406,-73.91434801
10,1,6,2,1,6,40.76525094,-73.92162503
10,1,9,2,1,6,40.76605885,-73.87586692
10,1,5,2,1,6,40.76758989,-73.91088941
10,1,6,2,1,6,40.7680227,-73.92100805
10,1,11,2,1,6,40.77062836,-73.78877113
10,1,1,2,1,6,40.77991001,-73.79119341
10,1,8,2,1,6,40.78620882,-73.83689057
10,1,1,1,1,6,40.59197472,-73.79405667
10,1,8,1,1,6,40.59384148,-73.79730958
